Latitude,Longitude,ListingType,ListingPrice,FloorSize,TimeOnMarket
40.73936,-73.8577,Apartment for rent,"$2,300/mo",--,27 days ago
40.73936,-73.8577,Apartment for rent,"$2,400/mo",--,27 days ago
40.72727,-73.81458,Apartment for rent,"$1,800/mo",700,27 days ago
40.73077,-73.82618,House for rent,"$3,800/mo",--,27 days ago
40.737182,-73.860552,Apartment for rent,"$3,174/mo","1,280",28 days ago
40.736358,-73.861083,Apartment for rent,"$3,243/mo","1,280",28 days ago
40.735801,-73.860797,Apartment for rent,"$2,588/mo","1,073",28 days ago
40.737218,-73.86252,Apartment for rent,"$2,392/mo",871,28 days ago
40.730133,-73.825668,Co-op for rent,"$1,799/mo",--,28 days ago
40.725752,-73.814533,Apartment for rent,"$2,025/mo",800,29 days ago
40.726271,-73.818717,Apartment for rent,"$2,025/mo",900,29 days ago
40.727305,-73.81704,Apartment for rent,"$2,100/mo",900,29 days ago
40.726072,-73.817834,Apartment for rent,"$2,075/mo",900,29 days ago
40.719733,-73.81969,Apartment for rent,"$1,950/mo","45,750",29 days ago
40.725125,-73.816636,Apartment for rent,"$1,825/mo",600,29 days ago
40.726803,-73.814342,Apartment for rent,"$2,100/mo",900,29 days ago
40.727942,-73.814905,Apartment for rent,"$2,025/mo",800,29 days ago
40.727942,-73.814905,Apartment for rent,"$2,025/mo",800,29 days ago
40.730664,-73.824758,House for rent,"$3,500/mo","2,000",29 days ago
40.74341,-73.85996,Apartment for rent,"$1,600/mo",--,29 days ago
40.745407,-73.858839,Apartment for rent,"$3,800/mo",--,29 days ago
40.72459,-73.81841,Apartment for rent,"$1,800/mo",--,30 days ago
40.72641,-73.81102,Apartment for rent,"$2,025/mo",--,30 days ago
40.752984,-73.806171,Apartment for rent,"$2,300/mo",900,30 days ago
40.73768,-73.8623,Apartment for rent,"$2,254/mo",871,30 days ago
40.737712,-73.856491,Apartment for rent,"$2,500/mo",--,14 photos
40.727392,-73.819298,Apartment for rent,"$1,800/mo",--,31 days ago
40.739655,-73.854922,Apartment for rent,"$1,600/mo",750,31 days ago
40.739642,-73.795802,Apartment for rent,"$2,599/mo","1,300",31 days ago
40.74812,-73.790472,Condo for rent,"$2,200/mo",--,31 days ago
40.726368,-73.812473,Apartment for rent,"$1,800/mo",755,31 days ago
40.725748,-73.811573,Apartment for rent,"$2,100/mo",850,31 days ago
40.73028,-73.84823,Apartment for rent,"$2,050/mo",--,31 days ago
40.725146,-73.815886,Apartment for rent,"$1,800/mo",--,32 days ago
40.726561,-73.792995,House for rent,"$3,800/mo","1,332",32 days ago
40.72686,-73.8605,Apartment for rent,"$2,484/mo",900,32 days ago
40.728497,-73.8079,Apartment for rent,"$2,150/mo","1,100",32 days ago
40.73987,-73.82096,Apartment for rent,"$2,200/mo",--,32 days ago
40.75073,-73.823241,Apartment for rent,"$1,850/mo",750,32 days ago
40.73882,-73.82007,Apartment for rent,"$4,000/mo","1,500",32 days ago
40.72198,-73.854893,Apartment for rent,"$2,400/mo","1,000",32 days ago
40.73162,-73.85147,Apartment for rent,"$1,800/mo",825,33 days ago
40.724629,-73.802442,Townhouse for rent,"$2,800/mo",--,33 days ago
40.73882,-73.82007,Apartment for rent,"$2,000/mo","1,000",33 days ago
40.72589,-73.815152,Apartment for rent,"$1,800/mo",--,33 days ago
40.72231,-73.83897,Apartment for rent,"$1,650/mo",450,33 days ago
40.732354,-73.824048,House for rent,"$2,650/mo","2,300",34 days ago
40.731329,-73.825098,House for rent,"$3,300/mo","1,512",35 days ago
40.72319,-73.80216,Apartment for rent,"$2,800/mo",--,35 days ago
40.74462,-73.831256,Apartment for rent,"$2,500/mo","1,100",35 days ago
40.72765,-73.79663,House for rent,"$1,600/mo",--,35 days ago
40.750709,-73.823211,Apartment for rent,"$2,322/mo",--,36 days ago
40.750368,-73.861646,Apartment for rent,"$3,500/mo","3,055",36 days ago
40.73716,-73.86405,Apartment for rent,"$2,280/mo",867,36 days ago
40.729438,-73.85493,Apartment for rent,"$1,707/mo",--,36 days ago
40.734816,-73.857899,Apartment for rent,"$1,892/mo",600,36 days ago
40.751673,-73.810171,Apartment for rent,"$2,150/mo","1,890",37 days ago
40.726155,-73.803134,Apartment for rent,"$2,500/mo","1,400",37 days ago
40.739168,-73.820228,Condo for rent,"$2,000/mo",--,37 days ago
40.752975,-73.807551,Condo for rent,"$2,400/mo",--,37 days ago
40.73716,-73.86405,Apartment for rent,"$2,294/mo",--,37 days ago
40.73716,-73.86405,Apartment for rent,"$2,302/mo",--,37 days ago
40.72726,-73.81978,Apartment for rent,"$1,800/mo",--,38 days ago
40.75237,-73.80681,Apartment for rent,"$3,300/mo","1,600",38 days ago
40.737827,-73.809157,Apartment for rent,"$2,300/mo",900,38 days ago
40.725905,-73.816612,Apartment for rent,"$2,135/mo","1,000",38 days ago
40.725935,-73.816511,Apartment for rent,"$2,075/mo",--,38 days ago
40.727649,-73.818009,House for rent,"$2,000/mo",900,38 days ago
40.741921,-73.861539,Apartment for rent,"$1,700/mo",--,38 days ago
40.72062,-73.81376,Apartment for rent,"$1,500/mo",--,39 days ago
40.72529,-73.81358,Apartment for rent,"$1,800/mo",725,39 days ago
40.725723,-73.813975,Apartment for rent,"$2,075/mo",--,39 days ago
40.725658,-73.810094,Apartment for rent,"$1,750/mo",600,39 days ago
40.73175,-73.85358,Apartment for rent,"$2,500/mo","114,600",40 days ago
40.736881,-73.811166,House for rent,"$2,600/mo",--,40 days ago
40.731311,-73.825158,House for rent,"$3,399/mo","1,296",41 days ago
40.720583,-73.799489,Condo for rent,"$1,200/mo",200,41 days ago
40.72945,-73.819386,Apartment for rent,"$2,100/mo","1,000",41 days ago
40.72173,-73.82595,Apartment for rent,"$4,500/mo",--,43 days ago
40.742631,-73.822634,House for rent,"$2,700/mo","1,100",43 days ago
40.7218,-73.810162,Townhouse for rent,"$3,500/mo","1,980",44 days ago
40.740868,-73.790001,House for rent,"$3,050/mo","1,580",45 days ago
40.7209,-73.82344,Apartment for rent,"$1,800/mo",650,45 days ago
40.74473,-73.82741,Apartment for rent,"$3,500/mo","1,431",45 days ago
40.7526,-73.82929,Apartment for rent,"$1,575/mo",750,46 days ago
40.7298,-73.80237,Apartment for rent,"$2,600/mo",--,46 days ago
40.728271,-73.807167,House for rent,"$2,600/mo",980,46 days ago
40.72146,-73.84397,Apartment for rent,"$2,800/mo",900,47 days ago
40.730983,-73.801399,Apartment for rent,"$2,600/mo",--,47 days ago
40.73044,-73.80618,Apartment for rent,"$2,350/mo","1,100",47 days ago
40.74017,-73.827886,Apartment for rent,"$2,500/mo",950,47 days ago
40.723252,-73.81205,Apartment for rent,"$2,400/mo",--,47 days ago
40.747534,-73.856619,House for rent,"$2,400/mo","1,576",49 days ago
40.725748,-73.811546,Apartment for rent,"$2,000/mo",--,49 days ago
40.74096,-73.856882,Condo for rent,"$3,500/mo","2,000",50 days ago
40.750809,-73.854968,Apartment for rent,"$2,600/mo",--,50 days ago
40.72093,-73.8023,House for rent,"$2,500/mo",--,51 days ago
40.730836,-73.820745,Townhouse for rent,"$1,600/mo",200,51 days ago
40.728511,-73.801024,House for rent,"$4,100/mo","1,404",52 days ago
40.739146,-73.828196,Apartment for rent,"$2,200/mo",850,52 days ago
40.73136,-73.85492,Apartment for rent,"$2,075/mo",750,53 days ago
40.720367,-73.821358,Apartment for rent,"$1,800/mo",700,53 days ago
40.74634,-73.82918,Apartment for rent,"$2,500/mo","1,200",54 days ago
40.729807,-73.825073,Apartment for rent,"$2,050/mo",950,55 days ago
40.73396,-73.81739,Condo for rent,"$1,800/mo",750,56 days ago
40.729779,-73.806906,Condo for rent,"$3,200/mo","1,400",57 days ago
40.740217,-73.795327,Apartment for rent,"$2,700/mo","1,200",57 days ago
40.72394,-73.81288,Apartment for rent,"$1,869/mo",--,57 days ago
40.743901,-73.830976,Condo for rent,"$2,200/mo",700,58 days ago
40.73917,-73.85796,Apartment for rent,"$2,200/mo",--,59 days ago
40.72369,-73.85808,Apartment for rent,"$1,900/mo",850,59 days ago
40.740456,-73.857992,Apartment for rent,"$3,000/mo",--,60 days ago
40.745566,-73.819439,Apartment for rent,"$2,800/mo","2,944",60 days ago
40.721811,-73.813116,Townhouse for rent,"$3,000/mo","1,926",60 days ago
40.726178,-73.812619,Apartment for rent,"$1,900/mo",550,60 days ago
40.74231,-73.856512,Apartment for rent,"$2,500/mo",--,61 days ago
40.726317,-73.812187,Apartment for rent,"$1,800/mo",--,61 days ago
40.721122,-73.799116,House for rent,"$3,250/mo","5,000",61 days ago
40.73962,-73.86077,Apartment for rent,"$1,900/mo",--,62 days ago
40.73811,-73.85836,Apartment for rent,"$1,795/mo",--,62 days ago
40.731641,-73.819824,House for rent,"$3,999/mo","1,400",62 days ago
40.74134,-73.85932,Apartment for rent,"$2,800/mo",--,63 days ago
40.72494,-73.81468,Apartment for rent,"$2,195/mo",--,63 days ago
40.742222,-73.861651,Apartment for rent,"$2,500/mo",800,63 days ago
40.75294,-73.81978,Apartment for rent,"$1,525/mo",300,65 days ago
40.727365,-73.858212,Apartment for rent,"$2,142/mo",925,65 days ago
40.724622,-73.856134,Apartment for rent,"$1,989/mo",708,65 days ago
40.731225,-73.849772,Apartment for rent,"$1,875/mo","156,108",65 days ago
40.725431,-73.839579,Apartment for rent,"$4,500/mo",--,66 days ago
40.725739,-73.813983,Apartment for rent,"$2,200/mo",--,66 days ago
40.729983,-73.794821,Apartment for rent,"$3,299/mo","1,850",67 days ago
40.72432,-73.80146,Apartment for rent,"$1,050/mo",350,67 days ago
40.72611,-73.82106,Apartment for rent,"$2,600/mo","1,300",68 days ago
40.72496,-73.84549,Apartment for rent,"$2,600/mo","1,250",70 days ago
40.73041,-73.807134,Apartment for rent,"$2,700/mo",993,70 days ago
40.7502,-73.8227,Apartment for rent,"$1,600/mo",--,71 days ago
40.75066,-73.814837,Apartment for rent,"$2,800/mo","1,000",71 days ago
40.725939,-73.849026,Apartment for rent,"$2,999/mo",--,72 days ago
40.726106,-73.848579,Apartment for rent,"$2,400/mo",--,72 days ago
40.746375,-73.823592,Apartment for rent,"$1,900/mo",--,72 days ago
40.726223,-73.855086,House for rent,"$3,300/mo","1,200",73 days ago
40.727308,-73.79868,House for rent,"$4,500/mo","1,800",74 days ago
40.72394,-73.81288,Apartment for rent,"$2,000/mo",--,74 days ago
40.72394,-73.81288,Apartment for rent,"$2,975/mo",--,74 days ago
40.73716,-73.86405,Apartment for rent,"$2,075/mo",--,75 days ago
40.73768,-73.8623,Apartment for rent,"$1,625/mo",--,75 days ago
40.73703,-73.85514,Apartment for rent,"$1,610/mo",--,75 days ago
40.75294,-73.81978,Apartment for rent,"$1,550/mo",650,75 days ago
40.74023,-73.85398,Apartment for rent,"$2,400/mo",--,76 days ago
40.752782,-73.830246,Apartment for rent,"$2,200/mo",--,76 days ago
40.747523,-73.833418,Townhouse for rent,"$2,300/mo","1,000",77 days ago
40.719666,-73.811936,Apartment for rent,"$2,300/mo","1,100",77 days ago
40.721523,-73.807414,House for rent,"$4,200/mo","1,428",78 days ago
40.73742,-73.86317,Apartment for rent,"$2,285/mo",871,78 days ago
40.74195,-73.82118,Apartment for rent,"$2,100/mo",--,78 days ago
40.73919,-73.82178,Apartment for rent,"$2,200/mo",750,79 days ago
40.743825,-73.830893,Condo for rent,"$1,985/mo",750,81 days ago
40.728782,-73.824167,Apartment for rent,"$2,100/mo","1,000",81 days ago
40.751721,-73.824891,Apartment for rent,"$2,500/mo",950,81 days ago
40.73717,-73.806857,Apartment for rent,"$2,200/mo","1,000",81 days ago
40.735918,-73.851898,Apartment for rent,"$1,683/mo",511,82 days ago
40.725746,-73.811904,Apartment for rent,"$2,245/mo",600,82 days ago
40.72494,-73.81468,Apartment for rent,"$2,950/mo",--,82 days ago
40.7499,-73.8531,Apartment for rent,"$2,500/mo",--,82 days ago
40.739387,-73.796145,Apartment for rent,"$2,599/mo",--,82 days ago
40.725476,-73.809255,Apartment for rent,"$2,700/mo",--,83 days ago
40.728059,-73.825646,Apartment for rent,"$2,200/mo",900,84 days ago
40.72917,-73.81815,Co-op for rent,"$1,900/mo",750,85 days ago
40.751528,-73.817291,Apartment for rent,"$2,000/mo",760,86 days ago
40.744195,-73.827213,Apartment for rent,"$2,000/mo","1,400",86 days ago
40.72394,-73.81288,Apartment for rent,"$1,869/mo",--,86 days ago
40.72394,-73.81288,Apartment for rent,"$1,869/mo",--,86 days ago
40.72394,-73.81288,Apartment for rent,"$2,252/mo",--,87 days ago
40.72394,-73.81288,Apartment for rent,"$3,995/mo",--,87 days ago
40.739682,-73.811932,House for rent,"$3,600/mo","1,100",88 days ago
40.72394,-73.81288,Apartment for rent,"$2,252/mo",--,88 days ago
40.72529,-73.81358,Apartment for rent,"$1,800/mo",700,88 days ago
40.73878,-73.7955,Apartment for rent,"$2,700/mo",--,89 days ago
40.725153,-73.799168,Apartment for rent,"$2,000/mo",924,90 days ago
40.74413,-73.85986,Apartment for rent,"$2,582/mo",--,90 days ago
40.721023,-73.813161,Apartment for rent,"$1,700/mo",--,91 days ago
40.740317,-73.857383,Apartment for rent,"$2,900/mo",765,93 days ago
40.74231,-73.85884,Apartment for rent,"$2,800/mo","1,600",93 days ago
40.725746,-73.811904,Apartment for rent,"$2,750/mo","1,000",93 days ago
40.729292,-73.825061,Apartment for rent,"$2,800/mo","1,152",93 days ago
40.734269,-73.86259,Apartment for rent,"$1,608/mo",469,94 days ago
40.725848,-73.80588,Condo for rent,"$3,000/mo","1,500",95 days ago
40.732347,-73.78998,House for rent,"$4,000/mo","2,000",95 days ago
40.723229,-73.820282,Apartment for rent,"$2,600/mo","1,100",95 days ago
40.745533,-73.826343,Apartment for rent,"$2,390/mo","1,400",97 days ago
40.743124,-73.79338,House for rent,"$2,400/mo","1,100",102 days ago
40.749963,-73.861753,Apartment for rent,"$1,775/mo",--,103 days ago
40.73716,-73.86405,Apartment for rent,"$2,890/mo",--,106 days ago
40.7291,-73.8239,Apartment for rent,"$1,250/mo",--,108 days ago
40.723176,-73.812082,Apartment for rent,"$2,300/mo",--,108 days ago
40.74479,-73.85909,Apartment for rent,"$2,600/mo","1,200",108 days ago
40.72104,-73.82007,Apartment for rent,"$1,800/mo",--,110 days ago
40.73878,-73.7955,Apartment for rent,"$2,600/mo",--,111 days ago
40.71987,-73.82323,Apartment for rent,"$1,700/mo",--,112 days ago
40.73435,-73.86057,Apartment for rent,"$1,495/mo",--,114 days ago
40.73742,-73.86317,Apartment for rent,"$2,395/mo",--,114 days ago
40.74896,-73.85448,Apartment for rent,"$2,635/mo",--,114 days ago
40.726527,-73.804165,House for rent,"$2,300/mo","1,200",115 days ago
40.72125,-73.82152,Apartment for rent,"$1,800/mo",700,115 days ago
40.749046,-73.855734,House for rent,"$2,600/mo","2,821",118 days ago
40.74975,-73.82229,Apartment for rent,"$2,207/mo",--,119 days ago
40.72915,-73.84944,Apartment for rent,"$2,300/mo",850,121 days ago
40.731829,-73.796205,House for rent,"$3,300/mo","1,768",121 days ago
40.727646,-73.794077,House for rent,"$4,300/mo","1,200",121 days ago
40.72394,-73.81288,Apartment for rent,"$2,204/mo",--,122 days ago
40.72742,-73.80194,Apartment for rent,"$3,200/mo","1,600",123 days ago
40.7197,-73.7945,Apartment for rent,"$2,600/mo",--,124 days ago
40.72966,-73.85024,Apartment for rent,"$1,700/mo",670,125 days ago
40.72494,-73.81468,Apartment for rent,"$4,025/mo","1,152",127 days ago
40.730888,-73.802581,Apartment for rent,"$2,700/mo",--,132 days ago
40.72262,-73.81219,Apartment for rent,"$2,800/mo","1,000",134 days ago
40.72319,-73.80216,Apartment for rent,"$3,000/mo",--,138 days ago
40.749879,-73.822389,Apartment for rent,"$2,395/mo","1,003",138 days ago
40.72494,-73.81468,Apartment for rent,"$1,950/mo",--,139 days ago
40.72494,-73.81468,Apartment for rent,"$2,827/mo",--,139 days ago
40.72892,-73.79498,Apartment for rent,"$4,400/mo",--,143 days ago
40.72494,-73.81468,Apartment for rent,"$4,025/mo",--,143 days ago
40.73029,-73.8585,Apartment for rent,"$1,550/mo","141,920",149 days ago
40.725341,-73.793327,House for rent,"$3,600/mo",--,151 days ago
40.72319,-73.80216,Apartment for rent,"$3,000/mo",--,152 days ago
40.73768,-73.8623,Apartment for rent,"$2,380/mo",--,162 days ago
40.72014,-73.79295,House for rent,"$2,050/mo",--,163 days ago
40.72115,-73.8014,Apartment for rent,"$2,150/mo",--,163 days ago
40.72838,-73.791532,House for rent,"$4,000/mo","1,000",164 days ago
40.745122,-73.852816,House for rent,"$5,500/mo","1,496",164 days ago
40.719748,-73.823918,Apartment for rent,"$1,800/mo",700,167 days ago
40.739727,-73.810987,House for rent,"$2,400/mo","1,216",170 days ago
40.726552,-73.813039,Apartment for rent,"$1,850/mo",--,172 days ago
40.73916,-73.79394,House for rent,"$3,200/mo",--,173 days ago
40.72319,-73.80216,Apartment for rent,"$2,900/mo",--,177 days ago
40.750046,-73.819723,House for rent,"$2,200/mo",950,177 days ago
40.7216,-73.79962,Apartment for rent,"$2,475/mo",--,179 days ago
40.751231,-73.821362,Apartment for rent,"$2,750/mo",--,179 days ago
40.725394,-73.816908,Apartment for rent,"$1,825/mo",720,179 days ago
40.726307,-73.812677,Apartment for rent,"$1,850/mo",800,182 days ago
40.750428,-73.822444,Apartment for rent,"$2,350/mo",900,183 days ago
40.75012,-73.86076,Apartment for rent,"$3,300/mo","1,700",184 days ago
40.737249,-73.847803,Apartment for rent,"$2,249/mo","1,000",195 days ago
40.72494,-73.81468,Apartment for rent,"$2,827/mo",--,197 days ago
40.725373,-73.794958,Apartment for rent,"$4,200/mo",--,198 days ago
40.72494,-73.81468,Apartment for rent,"$1,869/mo",505,206 days ago
40.72494,-73.81468,Apartment for rent,"$2,252/mo",--,206 days ago
40.735399,-73.862103,Apartment for rent,"$2,945/mo","1,275",207 days ago
40.725399,-73.851782,Apartment for rent,"$2,900/mo","1,200",209 days ago
40.75071,-73.82321,Apartment for rent,"$1,750/mo",--,211 days ago
40.74404,-73.82753,Apartment for rent,"$2,250/mo",--,211 days ago
40.725288,-73.813583,Apartment for rent,"$2,731/mo",784,228 days ago
40.72494,-73.81468,Apartment for rent,"$2,252/mo",--,249 days ago
40.735818,-73.798997,Apartment for rent,"$2,300/mo",850,253 days ago
40.739443,-73.818532,Apartment for rent,"$2,200/mo",--,255 days ago
40.72494,-73.81468,Apartment for rent,"$2,252/mo",--,257 days ago
40.748543,-73.816584,House for rent,"$9,500/mo","4,500",260 days ago
40.72494,-73.81468,Apartment for rent,"$2,750/mo",--,260 days ago
40.72494,-73.81468,Apartment for rent,"$1,869/mo",--,285 days ago
40.74896,-73.85448,Apartment for rent,"$2,500/mo","1,200",302 days ago
40.72494,-73.81468,Apartment for rent,"$2,125/mo",--,312 days ago
40.72494,-73.81468,Apartment for rent,"$1,950/mo",--,312 days ago
40.72494,-73.81468,Apartment for rent,"$2,195/mo",699,312 days ago
40.72494,-73.81468,Apartment for rent,"$2,827/mo",--,317 days ago
40.72494,-73.81468,Apartment for rent,"$2,252/mo",665,319 days ago
40.72494,-73.81468,Apartment for rent,"$2,950/mo","1,022",319 days ago
40.72494,-73.81468,Apartment for rent,"$2,922/mo",--,319 days ago
40.73962,-73.86077,Apartment for rent,"$2,220/mo",--,320 days ago
40.73962,-73.86077,Apartment for rent,"$1,826/mo",--,320 days ago
40.72494,-73.81468,Apartment for rent,"$3,995/mo",916,320 days ago
40.72494,-73.81468,Apartment for rent,"$4,000/mo",950,326 days ago
40.72494,-73.81468,Apartment for rent,"$3,065/mo",850,326 days ago
40.725698,-73.803503,House for rent,"$2,100/mo",850,328 days ago
40.72494,-73.81468,Apartment for rent,"$1,975/mo",700,335 days ago
40.739912,-73.860265,Apartment for rent,"$1,520/mo",--,340 days ago
40.72494,-73.81468,Apartment for rent,"$2,900/mo",--,341 days ago
40.72494,-73.81468,Apartment for rent,"$2,273/mo",700,347 days ago
40.72494,-73.81468,Apartment for rent,"$1,891/mo",700,359 days ago
40.72494,-73.81468,Apartment for rent,"$2,731/mo",--,359 days ago
40.72494,-73.81468,Apartment for rent,"$3,750/mo",700,373 days ago
40.72991,-73.82115,Apartment for rent,"$2,200/mo",700,385 days ago
40.72494,-73.81468,Apartment for rent,"$2,204/mo",700,411 days ago
40.74064,-73.81122,Apartment for rent,"$3,300/mo",--,413 days ago
40.72494,-73.81468,Apartment for rent,"$1,869/mo",--,422 days ago
40.72494,-73.81468,Apartment for rent,"$3,995/mo",--,450 days ago
40.74385,-73.830555,Apartment for rent,"$2,200/mo","1,360",452 days ago
40.727693,-73.793509,House for rent,"$4,500/mo","2,000",636 days ago
